Title,Running Time,Genre,Director,Barcode,Format,Condition
Hornblower: The Complete Collection,786 mins,Action; Adventure,,9397710721693,DVD,
Hotel Rwanda,122 mins,Drama; History; War,Terry George,9398710471496,DVD,
House Of Cards Trilogy,642 mins,Drama,,5051561038075,DVD,
House Of Cards: Season 1,674 mins,Drama,Joel Schumacher; James Foley,9317731100116,DVD,
House of Flying Daggers; Fearless; Duelist,,Action,,5050582489804,DVD,
How I Live Now,101 mins,Action; Drama; Thriller; War,Kevin MacDonald,5055744700056,Blu-ray,Unopened
Howl's Moving Castle,119 mins,Animation; Anime; Fantasy; Romance,Hayao Miyazaki,5055201820136,Blu-ray,
Hsia Nu - Touch of Zen,170 mins,Action; Adventure,King Hu,5060034570394,DVD,
Hugo,126 mins,Adventure; Drama; Family,Martin Scorsese,5017239151828,Blu-ray 3D,Unopened
"Human Stain, The",,Drama,Robert Benton,9398521520031,DVD,
Hummingbird,100 mins,Action; Crime; Thriller,Steven Knight,5060223769936,Blu-ray,
"I, Claudius",650 mins,Action; Drama; History,Herbert Wise,5051561026874,DVD,
Ichi,120 mins,Action; Adventure; Drama; Foreign; History,Fumihiko Sori,5022366801041,Blu-ray,
If....,111 mins,Drama; Foreign,Lindsay Anderson,5014437808233,DVD,
Ikiru,143 mins,Adventure; Drama,Akira Kurosawa,5706550034773,DVD,
Il Commissario De Luca: Season 1,420 mins,Crime; Drama,Antonio Frazzi,5027035010847,DVD,
Il Postino,108 mins,Foreign; Romance,Michael Radford; Massimo Troisi,5601887531004,DVD,
In Bloom,102 mins,Drama,Simon Groß; Nana Ekvtimishvili,5021866704302,DVD,
In The Electric Mist,102 mins,Crime; Drama; Mystery,Bertrand Tavernier,5022153100791,DVD,Unopened
In The Heart Of The Sea,122 mins,Drama; Adventure; Action; History; Biography,Ron Howard,9398712346082,Blu-ray,
In The Valley Of Elah,125 mins,Crime; Mystery; Thriller,Paul Haggis,5055201802507,DVD,
Inception,148 mins,,,5051892011969,Blu-ray,
Indian Runner,127 mins,Drama,Sean Penn,8712609757088,DVD,
Indiana Jones: The Complete Adventures,481 mins,Action; Adventure; Thriller,Steven Spielberg,5051368203638,Blu-ray,Unopened
Inglourious Basterds,148 mins,Drama; Thriller; War,Quentin Tarantino; Eli Roth,5050582713374,DVD,Unopened
Inspector George Gently Series 4,178 mins,Crime; Drama,,5036193098970,DVD,
Inspector George Gently Series 4,178 mins,Crime; Drama,,5036193098970,DVD,
Inspector George Gently Series 5,356 mins,Crime; Drama,,5036193098987,DVD,
Inspector George Gently: Season 6,89 mins,Drama,Nicholas Renton; Ben Bolt,5036193031342,DVD,
Inspector Nardone,,,Fabrizio Costa,5027035010618,DVD,
Insurgent,119 mins,Action; Adventure; Foreign; Romance; Science Fiction; Thriller,Robert Schwentke,5030305518813,Blu-ray,
Interstellar,169 mins,Adventure; Drama; Science Fiction,Christopher Nolan,5051892182911,Blu-ray,
Ip Man 2,108 mins,Action; Biography; History; Martial Arts,Wilson Yip,5060085366335,Blu-ray,Unopened
Is Anybody There?,95 mins,Drama; Music,John Crowley,5055201807946,Blu-ray,
Isenhart - The Hunt Is On For Your Soul,,,,9327031012507,Blu-ray,
James Bond Ultimate Editions Collection,4000 mins,Action; Crime; Drama; Thriller,Terence Young,5039036029919,DVD,
Jar City,,,Baltasar Kormákur,9322225069213,DVD,
Jason Bourne,123 mins,Action; Thriller,Paul Greengrass,5053083083991,Blu-ray,
Jean De Florette / Manon Des Sources,225 mins,,Claude Berri,5060002824283,DVD,
Jerry Bruckheimer Collector's 3 Pack,,,Antoine Fuqua,9398514619032,DVD,
John Wick,143 mins,Action; Crime; Thriller,Chad Stahelski; David Leitch,9398711410593,DVD,
John Wick: Chapter 3 - Parabellum,131 mins,Thriller; Crime; Action,Chad Stahelski,9317731152887,Blu-ray,
John Wick: Chapters 1 & 2,223 mins,,,5051892209199,Blu-ray,
Jonathan Creek - The Grinning Man,,,Richard Holthouse; Marcus Mortimer,5051561028366,DVD,
Jonathan Creek: The Complete Series 1-4,1500 mins,Comedy; Crime,Marcus Mortimer; Sandy Johnson,5014503156329,DVD,
Jonathan Creek: The Judas Tree,,,David Renwick,5051561031908,DVD,
Jonathan Creek: The Judas Tree,,,David Renwick,5051561031908,DVD,
Jordskott:,586 mins,Drama; Thriller,Anders Engström; Henrik Björn,5037115367938,DVD,
Judge John Deed Season 6 Martin Shaw / Import - Keine Deutsche Tonspur,,,Steve Kelly; Darcia Martin,8717344738170,DVD,
Jûsan-Nin No Shikaku -13 Assassins,141 mins,Action; Adventure; Drama,Takashi Miike,5021866021409,DVD,
Kagemusha,179 mins,Action; History; War,Akira Kurosawa,715515015622,DVD,
Kakushi Ken Oni No Tsume-The Hidden Blade,132 mins,Drama; Romance,Yoji Yamada,5023965360427,DVD,
Kick-Ass,117 mins,Action; Comedy; Crime,Matthew Vaughn,5050582769296,DVD,
Kiki's Delivery Service,103 mins,Adventure; Anime; Comedy; Family; Fantasy,Hayao Miyazaki,5055201823076,Blu-ray,
Kill Bill: Volume 1,111 mins,Action; Martial Arts; Thriller,Quentin Tarantino,9398522746034,DVD,
Killer Elite,116 mins,Action; Crime; Thriller,Gary McKendry,5017239152030,Blu-ray,
Kingdom Of Heaven,145 mins,Action; Adventure; History; War,Ridley Scott,9321337112244,Blu-ray,
Kingsman: The Secret Service,129 mins,Action; Adventure; Comedy; Crime,Matthew Vaughn,5039036072847,Blu-ray,
Kiss The Girls,111 mins,Crime; Mystery; Thriller,Gary Fleder,9324915050587,DVD,
Kraftidioten-In Order of Disappearance,115 mins,Action; Comedy; Crime; Thriller,Hans Petter Moland,5055002559563,DVD,
Kumonosu Jô -Throne of Blood,105 mins,Action; Thriller; War,Akira Kurosawa,5035673005330,DVD,
L. 627,,,,5055201802613,DVD,
L' Homme Du Train,90 mins,Comedy; Drama,Patrice Leconte,5060002831304,DVD,
L'empire Des Loups,128 mins,Action; Drama; Thriller,Chris Nahon,5035822045231,DVD,
L'enquete Corse,92 mins,Comedy,Alain Berbérian,3607483156070,DVD,
La Noche De Los Girasoles,123 mins,Drama; Thriller,Jorge Sanchez-Cabezudo,5060103790678,DVD,
La Strada,108 mins,Drama; Foreign,Federico Fellini,5055201836700,Blu-ray,
Last Dragon,109 mins,Action; Adventure; Comedy,Michael Schultz,43396059856,DVD,
Late Spring,,Drama,Yasujiro Ozu,5035673010686,DVD,
Le Comte De Monte Cristo,400 mins,Adventure; Drama; Romance,Josée Dayan,5027035002248,DVD,
Le Grand Bleu,160 mins,Documentary; Romance,Luc Besson,5039036003001,DVD,
Leon,127 mins,Drama,Luc Besson,5055201808448,DVD,
Léon,106 mins,Action; Crime; Thriller,Luc Besson,5055201808455,Blu-ray,
Les Couloirs Du Temps: Les Visiteurs 2,118 mins,Comedy; Family; Science Fiction,Jean-Marie Poiré,5027035004938,DVD,
"Les Misérables -Depardieu, Malkovich",172 mins,Drama; History,Josée Dayan,3000000077030,DVD,
Les Valseuses,114 mins,Comedy; Crime; Drama,Bertrand Blier,5028836031024,DVD,
Let The Sunshine In,91 mins,,,5021866848303,DVD,
Life And Nothing But,135 mins,Drama,Bertrand Tavernier,738329037321,DVD,
Life Is Beautiful,120 mins,Action; Drama; Foreign; Romance,Mark de Cloe; Jeroen Berkvens,9398710210996,DVD,
Line Of Duty: Season 1,353 mins,Action; Adventure; Crime; Drama; Thriller,Douglas Mackinnon; Daniel Nettheim,9321337152394,DVD,
Line Of Duty: Season 2,358 mins,Crime; Drama; Thriller,Douglas Mackinnon; Daniel Nettheim,9321337152394,DVD,
Lion,118 mins,Biography; Drama,Garth Davis,5017239152740,Blu-ray,
Little Miss Sunshine,101 mins,Comedy; Drama,Jonathan Dayton; Valerie Faris,5694310021968,DVD,
Long Men Fei Jia-Flying Swords of Dragon Gate,123 mins,Action; Adventure; Martial Arts,,5060018493855,Blu-ray,Unopened
Lore,108 mins,Drama; War,Cate Shortland,5021866065403,Blu-ray,
Lost In Translation,102 mins,Comedy; Family; Romance,Sofia Coppola,5060049145198,DVD,
Love & Friendship,92 mins,Comedy; Drama; Romance,Whit Stillman,9317731127618,DVD,
Lucy,89 mins,Action; Science Fiction; Thriller,Luc Besson,5053083016159,Blu-ray,
