Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
Jûsan-Nin No Shikaku -13 Assassins,141 mins,Action; Adventure; Drama,Takashi Miike,5021866021409,DVD,,43.73,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Kagemusha,179 mins,Action; History; War,Akira Kurosawa,715515015622,DVD,,41.92,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Kakushi Ken Oni No Tsume-The Hidden Blade,132 mins,Drama; Romance,Yoji Yamada,5023965360427,DVD,,51.44,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Kick-Ass,117 mins,Action; Comedy; Crime,Matthew Vaughn,5050582769296,DVD,,30.16,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Kiki's Delivery Service,103 mins,Adventure; Anime; Comedy; Family; Fantasy,Hayao Miyazaki,5055201823076,Blu-ray,,,None,eBay,No matching listings,
Kill Bill: Volume 1,111 mins,Action; Martial Arts; Thriller,Quentin Tarantino,9398522746034,DVD,,15.87,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Killer Elite,116 mins,Action; Crime; Thriller,Gary McKendry,5017239152030,Blu-ray,,30.01,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Kingdom Of Heaven,145 mins,Action; Adventure; History; War,Ridley Scott,9321337112244,Blu-ray,,18.36,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Kingsman: The Secret Service,129 mins,Action; Adventure; Comedy; Crime,Matthew Vaughn,5039036072847,Blu-ray,,24.49,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Kiss The Girls,111 mins,Crime; Mystery; Thriller,Gary Fleder,9324915050587,DVD,,7.72,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Kraftidioten-In Order of Disappearance,115 mins,Action; Comedy; Crime; Thriller,Hans Petter Moland,5055002559563,DVD,,22.0,Low,eBay,1 listing,
