Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
How I Live Now,101 mins,Action; Drama; Thriller; War,Kevin MacDonald,5055744700056,Blu-ray,Unopened,22.09,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
Howl's Moving Castle,119 mins,Animation; Anime; Fantasy; Romance,Hayao Miyazaki,5055201820136,Blu-ray,,56.9,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Hsia Nu - Touch of Zen,170 mins,Action; Adventure,King Hu,5060034570394,DVD,,39.35,Low,eBay,1 listing,
Hugo,126 mins,Adventure; Drama; Family,Martin Scorsese,5017239151828,Blu-ray 3D,Unopened,37.55,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
"Human Stain, The",,Drama,Robert Benton,9398521520031,DVD,,11.52,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Hummingbird,100 mins,Action; Crime; Thriller,Steven Knight,5060223769936,Blu-ray,,17.28,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
"I, Claudius",650 mins,Action; Drama; History,Herbert Wise,5051561026874,DVD,,49.85,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Ichi,120 mins,Action; Adventure; Drama; Foreign; History,Fumihiko Sori,5022366801041,Blu-ray,,41.51,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
If....,111 mins,Drama; Foreign,Lindsay Anderson,5014437808233,DVD,,29.62,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Ikiru,143 mins,Adventure; Drama,Akira Kurosawa,5706550034773,DVD,,,None,eBay,No matching listings,
Il Commissario De Luca: Season 1,420 mins,Crime; Drama,Antonio Frazzi,5027035010847,DVD,,27.52,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Il Postino,108 mins,Foreign; Romance,Michael Radford; Massimo Troisi,5601887531004,DVD,,,None,eBay,No matching listings,
In Bloom,102 mins,Drama,Simon Groß; Nana Ekvtimishvili,5021866704302,DVD,,25.86,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
In The Electric Mist,102 mins,Crime; Drama; Mystery,Bertrand Tavernier,5022153100791,DVD,Unopened,14.17,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
In The Heart Of The Sea,122 mins,Drama; Adventure; Action; History; Biography,Ron Howard,9398712346082,Blu-ray,,16.46,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
In The Valley Of Elah,125 mins,Crime; Mystery; Thriller,Paul Haggis,5055201802507,DVD,,23.6,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Inception,148 mins,,,5051892011969,Blu-ray,,21.74,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Indian Runner,127 mins,Drama,Sean Penn,8712609757088,DVD,,18.03,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Indiana Jones: The Complete Adventures,481 mins,Action; Adventure; Thriller,Steven Spielberg,5051368203638,Blu-ray,Unopened,107.44,Medium,eBay,No Brand New listings found. Estimated using used listings. (3 listings),
Inglourious Basterds,148 mins,Drama; Thriller; War,Quentin Tarantino; Eli Roth,5050582713374,DVD,Unopened,9.97,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
Inspector George Gently Series 4,178 mins,Crime; Drama,,5036193098970,DVD,,14.27,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Inspector George Gently Series 4,178 mins,Crime; Drama,,5036193098970,DVD,,14.27,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Inspector George Gently Series 5,356 mins,Crime; Drama,,5036193098987,DVD,,44.54,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Inspector George Gently: Season 6,89 mins,Drama,Nicholas Renton; Ben Bolt,5036193031342,DVD,,9.7,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Inspector Nardone,,,Fabrizio Costa,5027035010618,DVD,,29.72,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Insurgent,119 mins,Action; Adventure; Foreign; Romance; Science Fiction; Thriller,Robert Schwentke,5030305518813,Blu-ray,,48.72,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Interstellar,169 mins,Adventure; Drama; Science Fiction,Christopher Nolan,5051892182911,Blu-ray,,18.27,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Ip Man 2,108 mins,Action; Biography; History; Martial Arts,Wilson Yip,5060085366335,Blu-ray,Unopened,31.41,Low,eBay,No Brand New listings found. Estimated using used listings. (2 listings),
Is Anybody There?,95 mins,Drama; Music,John Crowley,5055201807946,Blu-ray,,27.59,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Isenhart - The Hunt Is On For Your Soul,,,,9327031012507,Blu-ray,,13.3,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
James Bond Ultimate Editions Collection,4000 mins,Action; Crime; Drama; Thriller,Terence Young,5039036029919,DVD,,168.54,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Jar City,,,Baltasar Kormákur,9322225069213,DVD,,19.61,High,eBay,5 listings,
Jason Bourne,123 mins,Action; Thriller,Paul Greengrass,5053083083991,Blu-ray,,36.37,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Jean De Florette / Manon Des Sources,225 mins,,Claude Berri,5060002824283,DVD,,24.59,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Jerry Bruckheimer Collector's 3 Pack,,,Antoine Fuqua,9398514619032,DVD,,12.62,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
John Wick,143 mins,Action; Crime; Thriller,Chad Stahelski; David Leitch,9398711410593,DVD,,7.78,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
John Wick: Chapter 3 - Parabellum,131 mins,Thriller; Crime; Action,Chad Stahelski,9317731152887,Blu-ray,,19.17,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
John Wick: Chapters 1 & 2,223 mins,,,5051892209199,Blu-ray,,43.89,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Jonathan Creek - The Grinning Man,,,Richard Holthouse; Marcus Mortimer,5051561028366,DVD,,26.18,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Jonathan Creek: The Complete Series 1-4,1500 mins,Comedy; Crime,Marcus Mortimer; Sandy Johnson,5014503156329,DVD,,57.4,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Jonathan Creek: The Judas Tree,,,David Renwick,5051561031908,DVD,,23.29,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Jonathan Creek: The Judas Tree,,,David Renwick,5051561031908,DVD,,23.29,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Jordskott:,586 mins,Drama; Thriller,Anders Engström; Henrik Björn,5037115367938,DVD,,38.52,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Judge John Deed Season 6 Martin Shaw / Import - Keine Deutsche Tonspur,,,Steve Kelly; Darcia Martin,8717344738170,DVD,,31.45,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
